country_code,year,hpi,overburden_rate,lu_median_price_sqm,hpi_yoy_pct
BE,2005,76.19,8.6,,
BE,2006,85.04,9.8,,11.62
BE,2007,92.62,10.1,,8.91
BE,2008,97.24,12.5,,4.99
BE,2009,97.1,8.7,,-0.14
BE,2010,100.0,8.9,,2.99
BE,2011,103.5,10.6,,3.5
BE,2012,106.06,11.0,,2.47
BE,2013,107.1,9.6,,0.98
BE,2014,107.12,10.4,,0.02
BE,2015,108.42,9.4,,1.21
BE,2016,110.71,9.8,,2.11
BE,2017,114.46,9.4,,3.39
BE,2018,117.96,8.9,,3.06
BE,2019,122.62,8.4,,3.95
BE,2020,127.83,7.7,,4.25
BE,2021,136.52,7.6,,6.8
BE,2022,144.12,7.5,,5.57
BE,2023,147.53,7.8,,2.37
DE,2005,101.12,,,
DE,2006,100.82,,,-0.3
DE,2007,98.0,,,-2.8
DE,2008,99.1,,,1.12
DE,2009,99.22,,,0.12
DE,2010,100.0,14.5,,0.79
DE,2011,103.3,16.1,,3.3
DE,2012,106.92,16.6,,3.5
DE,2013,110.55,16.4,,3.4
DE,2014,113.92,15.9,,3.05
DE,2015,119.18,15.6,,4.62
DE,2016,128.25,15.8,,7.61
DE,2017,136.45,14.5,,6.39
DE,2018,145.6,14.2,,6.71
DE,2019,154.68,13.9,,6.24
DE,2020,167.08,9.0,,8.02
DE,2021,187.62,11.0,,12.29
DE,2022,198.98,11.9,,6.05
DE,2023,180.28,13.0,,-9.4
FR,2005,85.04,5.3,,
FR,2006,95.28,6.0,,12.04
FR,2007,101.56,5.7,,6.59
FR,2008,102.4,4.2,,0.83
FR,2009,95.12,4.0,,-7.11
FR,2010,100.0,5.1,,5.13
FR,2011,105.95,5.2,,5.95
FR,2012,105.37,5.2,,-0.55
FR,2013,103.15,5.2,,-2.11
FR,2014,101.28,5.1,,-1.81
FR,2015,99.42,5.7,,-1.84
FR,2016,100.34,5.2,,0.93
FR,2017,103.37,5.0,,3.02
FR,2018,106.48,4.7,,3.01
FR,2019,109.95,5.5,,3.26
FR,2020,116.08,5.6,,5.58
FR,2021,123.72,,,6.58
FR,2022,131.64,6.5,,6.4
FR,2023,130.76,6.5,,-0.67
IE,2005,,2.7,,
IE,2006,,2.5,,
IE,2007,,3.1,,
IE,2008,,3.3,,
IE,2009,,4.0,,
IE,2010,100.0,4.9,,
IE,2011,82.8,6.1,,-17.2
IE,2012,71.58,6.5,,-13.55
IE,2013,73.44,4.6,,2.6
IE,2014,86.22,6.4,,17.4
IE,2015,95.63,4.7,,10.91
IE,2016,102.76,4.6,,7.46
IE,2017,114.96,4.5,,11.87
IE,2018,126.61,3.4,,10.13
IE,2019,128.88,5.2,,1.79
IE,2020,128.52,4.2,,-0.28
IE,2021,141.2,2.6,,9.87
IE,2022,160.25,3.7,,13.49
IE,2023,162.14,4.7,,1.18
LU,2005,,,,
LU,2006,,,,
LU,2007,96.5,3.9,,
LU,2008,97.94,3.7,,1.49
LU,2009,94.44,3.7,,-3.57
LU,2010,100.0,4.7,,5.89
LU,2011,104.82,4.2,,4.82
LU,2012,108.94,4.9,,3.93
LU,2013,112.57,5.6,,3.33
LU,2014,118.34,6.8,,5.13
LU,2015,123.01,6.0,,3.95
LU,2016,130.65,7.0,,6.21
LU,2017,138.08,7.1,,5.69
LU,2018,148.82,9.3,,7.78
LU,2019,164.98,10.1,,10.86
LU,2020,189.21,8.5,,14.69
LU,2021,217.49,5.1,,14.95
LU,2022,236.72,9.0,,8.84
LU,2023,210.47,11.5,,-11.09
NL,2005,94.39,20.2,,
NL,2006,98.69,19.7,,4.56
NL,2007,102.84,18.3,,4.21
NL,2008,105.93,13.7,,3.0
NL,2009,102.33,13.1,,-3.4
NL,2010,100.0,14.0,,-2.28
NL,2011,97.58,14.5,,-2.42
NL,2012,91.3,14.4,,-6.44
NL,2013,85.27,15.7,,-6.6
NL,2014,86.06,15.4,,0.93
NL,2015,88.68,14.9,,3.04
NL,2016,93.56,10.7,,5.5
NL,2017,101.14,9.4,,8.1
NL,2018,110.47,9.4,,9.22
NL,2019,118.24,9.9,,7.03
NL,2020,127.56,8.3,,7.88
NL,2021,146.77,8.3,,15.06
NL,2022,166.29,10.0,,13.3
NL,2023,161.55,9.3,,-2.85
